TYPE,SCALE,VAR,P,SEED
s,seasonal,tmean,NA,8420
s,seasonal,tmean,NA,8430
s,seasonal,tmean,NA,8438
s,seasonal,tmean,NA,844
s,seasonal,tmean,NA,8441
s,seasonal,tmean,NA,8449
s,seasonal,tmean,NA,8454
s,seasonal,tmean,NA,8457
s,seasonal,tmean,NA,8493
s,seasonal,tmean,NA,8495
s,seasonal,tmean,NA,85
s,seasonal,tmean,NA,850
s,seasonal,tmean,NA,8511
s,seasonal,tmean,NA,8520
s,seasonal,tmean,NA,8559
s,seasonal,tmean,NA,8578
s,seasonal,tmean,NA,8579
s,seasonal,tmean,NA,8581
s,seasonal,tmean,NA,8583
s,seasonal,tmean,NA,8593
s,seasonal,tmean,NA,8607
s,seasonal,tmean,NA,8630
s,seasonal,tmean,NA,8631
s,seasonal,tmean,NA,8633
s,seasonal,tmean,NA,8639
s,seasonal,tmean,NA,8649
s,seasonal,tmean,NA,8653
s,seasonal,tmean,NA,8695
s,seasonal,tmean,NA,8696
s,seasonal,tmean,NA,8723
s,seasonal,tmean,NA,8731
s,seasonal,tmean,NA,8737
s,seasonal,tmean,NA,8753
s,seasonal,tmean,NA,8755
s,seasonal,tmean,NA,8778
s,seasonal,tmean,NA,8780
s,seasonal,tmean,NA,8782
s,seasonal,tmean,NA,8784
s,seasonal,tmean,NA,8801
s,seasonal,tmean,NA,8805
s,seasonal,tmean,NA,8848
s,seasonal,tmean,NA,8849
s,seasonal,tmean,NA,8870
s,seasonal,tmean,NA,8879
s,seasonal,tmean,NA,8885
s,seasonal,tmean,NA,889
s,seasonal,tmean,NA,893
s,seasonal,tmean,NA,8937
s,seasonal,tmean,NA,8943
s,seasonal,tmean,NA,8948
s,seasonal,tmean,NA,8964
s,seasonal,tmean,NA,8966
s,seasonal,tmean,NA,8971
s,seasonal,tmean,NA,8974
s,seasonal,tmean,NA,8981
s,seasonal,tmean,NA,8992
s,seasonal,tmean,NA,8996
s,seasonal,tmean,NA,9
s,seasonal,tmean,NA,9003
s,seasonal,tmean,NA,901
s,seasonal,tmean,NA,9020
s,seasonal,tmean,NA,9027
s,seasonal,tmean,NA,9039
s,seasonal,tmean,NA,9041
s,seasonal,tmean,NA,9048
s,seasonal,tmean,NA,9056
s,seasonal,tmean,NA,9059
s,seasonal,tmean,NA,9062
s,seasonal,tmean,NA,9063
s,seasonal,tmean,NA,9066
s,seasonal,tmean,NA,9087
s,seasonal,tmean,NA,9095
s,seasonal,tmean,NA,9098
s,seasonal,tmean,NA,9100
s,seasonal,tmean,NA,9110
s,seasonal,tmean,NA,9111
s,seasonal,tmean,NA,9116
s,seasonal,tmean,NA,9125
s,seasonal,tmean,NA,9133
s,seasonal,tmean,NA,9145
s,seasonal,tmean,NA,9152
s,seasonal,tmean,NA,9163
s,seasonal,tmean,NA,9167
s,seasonal,tmean,NA,9180
s,seasonal,tmean,NA,9202
s,seasonal,tmean,NA,9221
s,seasonal,tmean,NA,9247
s,seasonal,tmean,NA,9265
s,seasonal,tmean,NA,927
s,seasonal,tmean,NA,9288
s,seasonal,tmean,NA,9298
s,seasonal,tmean,NA,93
s,seasonal,tmean,NA,9307
s,seasonal,tmean,NA,932
s,seasonal,tmean,NA,9328
s,seasonal,tmean,NA,9343
s,seasonal,tmean,NA,9347
s,seasonal,tmean,NA,9361
s,seasonal,tmean,NA,9369
s,seasonal,tmean,NA,9383
s,seasonal,tmean,NA,9386
s,seasonal,tmean,NA,939
s,seasonal,tmean,NA,9399
s,seasonal,tmean,NA,9401
s,seasonal,tmean,NA,944
s,seasonal,tmean,NA,9455
s,seasonal,tmean,NA,9465
s,seasonal,tmean,NA,9473
s,seasonal,tmean,NA,9475
s,seasonal,tmean,NA,9476
s,seasonal,tmean,NA,9478
s,seasonal,tmean,NA,9484
s,seasonal,tmean,NA,9496
s,seasonal,tmean,NA,9512
s,seasonal,tmean,NA,9529
s,seasonal,tmean,NA,9531
s,seasonal,tmean,NA,9533
s,seasonal,tmean,NA,954
s,seasonal,tmean,NA,9543
s,seasonal,tmean,NA,9544
s,seasonal,tmean,NA,9550
s,seasonal,tmean,NA,9556
s,seasonal,tmean,NA,9560
s,seasonal,tmean,NA,9561
s,seasonal,tmean,NA,9572
s,seasonal,tmean,NA,9592
s,seasonal,tmean,NA,9598
s,seasonal,tmean,NA,9601
s,seasonal,tmean,NA,9602
s,seasonal,tmean,NA,962
s,seasonal,tmean,NA,9621
s,seasonal,tmean,NA,9623
s,seasonal,tmean,NA,9636
s,seasonal,tmean,NA,964
s,seasonal,tmean,NA,9641
s,seasonal,tmean,NA,9654
s,seasonal,tmean,NA,9675
s,seasonal,tmean,NA,968
s,seasonal,tmean,NA,9681
s,seasonal,tmean,NA,9693
s,seasonal,tmean,NA,9701
s,seasonal,tmean,NA,9702
s,seasonal,tmean,NA,9707
s,seasonal,tmean,NA,9717
s,seasonal,tmean,NA,9723
s,seasonal,tmean,NA,9726
s,seasonal,tmean,NA,9733
s,seasonal,tmean,NA,9745
s,seasonal,tmean,NA,975
s,seasonal,tmean,NA,9766
s,seasonal,tmean,NA,9785
s,seasonal,tmean,NA,9788
s,seasonal,tmean,NA,9799
s,seasonal,tmean,NA,9806
s,seasonal,tmean,NA,9807
s,seasonal,tmean,NA,9809
s,seasonal,tmean,NA,9825
s,seasonal,tmean,NA,9833
s,seasonal,tmean,NA,9839
s,seasonal,tmean,NA,9859
s,seasonal,tmean,NA,9862
s,seasonal,tmean,NA,9897
s,seasonal,tmean,NA,99
s,seasonal,tmean,NA,9908
s,seasonal,tmean,NA,9910
s,seasonal,tmean,NA,9915
s,seasonal,tmean,NA,993
s,seasonal,tmean,NA,9949
s,seasonal,tmean,NA,995
s,seasonal,tmean,NA,9958
s,seasonal,tmean,NA,9968
s,seasonal,tmean,NA,9985
s,seasonal,tmean,NA,9991
s,seasonal,tmean,NA,9992
